domain,timestamp,active_score,https_valid,certificate_valid,certificate_expiry_days,tls_version,hsts_enabled,redirects_count,server_header_leak,software_version_exposed,security_headers_count,open_ports_count,expired_cert,weak_tls,missing_hsts,info_disclosure,suspicious_redirect,insecure_ports
cloudfront.net,2026-02-28T20:24:06.573661Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
digicert.com,2026-02-28T20:24:09.286966Z,100.0,True,True,23,TLSv1.3,True,1,False,None,3,2,False,False,False,False,False,False
domaincontrol.com,2026-02-28T20:24:17.474835Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
doubleclick.net,2026-02-28T20:24:18.333442Z,90.0,True,True,57,TLSv1.3,False,1,False,sffe,2,2,False,False,True,False,False,False
dzen.ru,2026-02-28T20:24:22.186109Z,50.0,False,True,126,TLSv1.2,False,0,False,None,0,2,False,False,True,False,False,False
e2ro.com,2026-02-28T20:24:22.852255Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
edgekey.net,2026-02-28T20:24:23.349646Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
edgesuite.net,2026-02-28T20:24:23.830477Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
facebook.com,2026-02-28T20:24:25.224264Z,100.0,True,True,8,TLSv1.3,True,1,False,None,4,2,False,False,False,False,False,False
fastly.net,2026-02-28T20:24:27.344304Z,100.0,True,True,29,TLSv1.2,True,1,False,Artisanal bits,3,2,False,False,False,False,False,False
fbcdn.net,2026-02-28T20:24:29.621304Z,100.0,True,True,8,TLSv1.3,True,1,False,None,4,2,False,False,False,False,False,False
gandi.net,2026-02-28T20:24:33.504026Z,100.0,True,True,99,TLSv1.3,True,2,False,nginx,4,2,False,False,False,False,False,False
github.com,2026-02-28T20:24:33.908738Z,100.0,True,True,36,TLSv1.3,True,0,False,github.com,5,2,False,False,False,False,False,False
