domain,packet_count,avg_packet_size,dns_count,context,passive_score
casinonest.nl,2705,849.17,99,general,89.98,89.98
cbic-gst.gov.in,28073,1206.57,60,general,80.02,80.02
cc-courts.org,1459,792.88,72,general,90.41,90.41
cci.or.jp,1192,391.65,97,general,85.34,85.34
ccs.biz,212,269.08,48,dns_heavy,81.6,81.6
cepacsilo-marseille.fr,366,415.36,24,general,84.64,84.64
charitiesnys.com,3587,985.24,102,general,87.33,87.33
charlottemotorspeedway.com,8322,954.27,285,general,92.17,92.17
chartcapture.com,2121,719.69,60,general,92.16,92.16
chatboxn.com,10037,1214.6,66,general,84.38,84.38
checkyeti.com,11207,1246.65,51,general,83.95,83.95
chej.org,568,423.7,50,general,85.23,85.23
chez-alice.fr,217,255.28,4,general,80.76,80.76
chooseyourcrush.com,7162,1053.9,89,general,87.09,87.09
chrgj.org,18312,1177.64,120,general,85.34,85.34
chrono24.com.gr,937,741.52,59,general,91.18,91.18
chroot.ro,32365,1272.98,105,high_traffic,77.34,77.34
cim.es,18909,1263.99,43,general,82.23,82.23
cim.org,6652,1043.68,153,general,87.89,87.89
cin.red,2865,739.11,159,general,93.24,93.24
citynews.ca,10703,1081.4,96,general,87.99,87.99
cixve.net,200,291.42,18,general,81.73,81.73
clashofclans.com,33841,1267.64,105,high_traffic,76.87,76.87
clearaccept.com,36542,1238.7,117,high_traffic,76.57,76.57
clicmx.vip,980,562.13,21,general,88.13,88.13
clipxhentai.com,1501,651.41,85,general,91.12,91.12
cloud-cfg.com,232,296.12,48,dns_heavy,82.22,82.22
cloudflare-dns.com,1201,931.77,34,general,86.74,79.18
cloudflare.com,2804,1013.85,50,general,85.75,84.67
cloudflare.net,636,841.88,35,general,88.53,79.82
cloudfront.net,135,223.49,34,dns_heavy,80.38,76.89
cloudglobal.com,482,364.26,47,general,83.83,83.83
cloudlane.xyz,1041,724.11,57,general,91.59,91.59
cloudsee.com,768,585.21,33,general,88.71,88.71
clubvulkan56.com,24176,1233.33,67,general,81.08,81.08
cm777.com,1456,802.51,57,general,90.01,90.01
cnops.org.ma,15476,1206.12,36,general,84.83,84.83
codeforces.com,354,351.11,34,general,83.32,83.32
codigofacilito.com,3925,1105.01,75,general,84.47,84.47
collegeadvantage.com,6964,900.44,240,general,92.27,92.27
combatironapparel.com,8923,831.23,330,general,95.15,95.15
comics-all.com,9486,1126.54,69,general,86.16,86.16
construtorarecord.com.br,14037,1219.67,107,general,85.97,85.97
conversenow.ai,4101,1106.56,60,general,84.32,84.32
corefactory.net,692,558.46,50,general,88.29,88.29
coreos.com,6015,868.89,285,general,93.14,93.14
cormacneeson.co.uk,3001,797.16,93,general,91.19,91.19
cosina.co.jp,519,354.5,50,general,83.66,83.66
costcochecks.com,536,555.04,32,general,87.93,87.93
craftnote.cloud,231,356.48,24,general,83.27,83.27
crericambi.it,454,415.17,24,general,84.67,84.67
cresdns.com,225,256.97,48,dns_heavy,81.34,81.34
ctan.es,35074,1292.36,66,high_traffic,75.34,75.34
ctcxianyu.com,287,349.34,29,general,83.2,83.2
culture.si,3280,1124.78,38,general,83.31,83.31
curuzu.net,551,323.78,44,general,82.92,82.92
dagelan4djp.one,173,250.34,48,dns_heavy,81.17,81.17
dakotahotels.co.uk,16841,1147.62,220,general,87.82,87.82
damplips.com,6295,1030.07,135,general,87.83,87.83
danas.hr,1107,504.49,90,general,87.74,87.74
daoapi.xyz,108,419.5,6,general,84.41,84.41
darkdecember.net,171,243.27,54,dns_heavy,81.08,81.08
darmiloserdiya.ru,6749,1105.0,63,general,85.46,85.46
dars-development.ru,1051,668.54,21,general,90.54,90.54
datait.fi,23501,1233.19,90,general,81.64,81.64
dataxy.fr,17368,1245.31,63,general,83.52,83.52
davidkimforca.com,15769,1212.16,78,general,85.09,85.09
dbmwebhosting.com,1106,499.74,71,general,87.4,87.4
dearlybridal.com,726,609.21,72,general,89.7,89.7
deeli.ai,37970,1245.5,102,high_traffic,75.65,75.65
deezercommunity.com,2364,919.22,48,general,87.66,87.66
deltaslot88tanah.xyz,14922,1255.31,58,general,84.22,84.22
der-wolkenspeicher.de,3228,1150.35,63,general,83.02,83.02
deucescracked.com,745,549.28,66,general,88.3,88.3
dfw65mb9.com,8005,1129.2,87,general,85.72,85.72
dgvcl.co.in,404,337.6,45,general,83.18,83.18
dialogue.net.uk,415,448.6,65,dns_heavy,85.9,85.9
diariomendoza.com.ar,35052,1285.94,63,high_traffic,75.46,75.46
digicert.com,3396,1224.51,46,general,81.23,77.19
diginame.de,325,256.11,33,general,81.18,81.18
dimins.com,12467,1098.54,174,general,89.27,89.27
dinanikolaou.gr,9216,1114.96,48,general,86.06,86.06
diplomis-o-vysshem-v-ramenskom-190.ru,640,435.04,81,general,85.89,85.89
discountcasino3.net,21651,1274.57,44,general,80.9,80.9
dlqcwh.com,24374,1296.98,48,general,79.35,79.35
dmpriest.net.uk,1184,578.38,93,general,89.46,89.46
docsign.agency,33943,1272.52,30,high_traffic,75.8,75.8
doeda-luvv.xyz,12190,1173.12,117,general,86.8,86.8
dolce-gusto.it,10809,1243.84,51,general,83.86,83.86
dolphin-anty-mirror3.org,329,372.99,18,general,83.61,83.61
domaincontrol.com,475,617.62,22,general,89.18,80.06
doodlekit.com,8940,1165.46,114,general,85.62,85.62
dotster.com,29292,1288.4,54,general,77.62,77.62
doubleclick.net,2156,877.21,90,general,89.02,80.0
dovidka.info,1615,806.29,72,general,90.17,90.17
downtowndetroit.org,519,388.74,60,general,84.55,84.55
dpy3k5.com,4148,685.75,69,general,92.76,92.76
dramabuzzs.com,209,249.54,48,dns_heavy,81.17,81.17
dressupkit.com,18919,1274.61,34,general,81.88,81.88
drive.hu,1790,861.6,78,general,89.08,89.08
drivequant.com,43786,1086.72,130,high_traffic,77.19,77.19
drizly.com,796,473.2,77,general,86.75,86.75
dsacare.com,36951,1253.8,51,high_traffic,75.26,75.26
dublikat.club,15738,1227.8,63,general,84.57,84.57
duchaige.com,1044,458.16,72,general,86.46,86.46
duntaccu-adepa.net,512,690.38,42,general,91.07,91.07
durst-group.com,3889,905.63,162,general,89.97,89.97
dzen.ru,3474,988.23,88,general,87.05,82.15
dzirkstele.lv,14078,1138.89,232,general,89.28,89.28
e-consultic.com,35442,1280.97,57,high_traffic,75.34,75.34
e-wie-einfach.de,1914,778.19,72,general,90.92,90.92
e2ro.com,184,414.28,28,dns_heavy,84.59,78.4
e431.jp,787,513.76,48,general,87.3,87.3
eaglecable.net,292,304.72,54,dns_heavy,82.51,82.51
easy-pay.in,246,255.25,57,dns_heavy,81.42,81.42
easydns.net,21069,1206.82,167,general,84.15,84.15
ecarenext.com,24297,1245.05,26,general,80.27,80.27
ecorpnet.com,9007,1218.3,54,general,83.73,83.73
edgekey.net,1079,545.38,92,general,88.66,79.87
edgesuite.net,547,423.1,42,general,85.11,78.59
edmondok.gov,140,236.32,6,general,80.33,80.33
edprodpo.com,387,421.82,42,general,85.02,85.02
